route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER,SV4 NON UI SCH,[@6.0.28932250@][2][1654525478258]/18__SV4_NON_UI_SCH,PAR,1,SV4 NON UI SCH,SILVER 120
GOLD,G1 MF NONUI,[@6.0.28929634@][31][1653675845903]/1__G1_MF_NONUI,Cunningham & Perkins,0,G1 MF NONUI,[@6.0.28929634@]51
ILLINI,I5 UI M-TH,[@6.0.28930998@][2][1654023280185]/67__I5_UI_M-TH,PAR,1,I5 UI M-TH,22S ILLINI 20
ILLINI LIMITED SATURDAY,I1 NONUISA,[@6.0.14330204@][2][1622384445965]/62__I1_NONUISA,ARC,1,I1 NONUISA,ILLINI LIMITED WEEKEND 845
BRONZE,BZ1 SCHMF,[@7.0.41201636@][3][1243611110703]/2__BZ1_SCHMF,Lincoln Square,0,BZ1 SCHMF,8E
GREEN SATURDAY,GR4SA,[@7.0.41202550@][4][1248704281515]/0__GR4SA,Round Barn Road,1,GR4SA,[@15.0.68513015@]219
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/267__SV2_UISA,Vet-Med,1,SV2 UISA,130S SILVER WEEKEND 3
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][1][1622384291845]/21__I2_UI_SA,Lincoln & Killarney,0,I2 UI SA,[@6.0.14330204@]6
BLUE,B2 MF,[@14.0.56288268@][3][1302634831873]/5__B2_MF,Illinois Terminal,0,B2 MF,BLUE 51
GREY SATURDAY,GR2SA,[@15.0.73008535@][32][1401899327184]/34__GR2SA,Round Barn Road,1,GR2SA,[@15.0.69172548@]2
SILVER,SV4 NON UI SCH,[@6.0.28932250@][2][1654525478258]/22__SV4_NON_UI_SCH,PAR,1,SV4 NON UI SCH,SILVER 120
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334071343101]/1__L1SA,Champaign Walmart,0,L1SA,30NIT->BB
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/69__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
BRONZE,SV1 UI MF,[@7.0.41201636@][4][1248385296531]/1__SV1_UI_MF,Orchard Downs,1,SV1 UI MF,BRONZE 6
TEAL SATURDAY,T2 NONUI SA,[@12.0.44194660@][1250946648828]/144__T2_NONUI_SA,Orchard Downs,0,T2 NONUI SA,12E TEAL WEEKEND 13
YELLOW SATURDAY,Y2 NONUI SA,[@15.0.63192124@][2][1338469240094]/20__Y2_NONUI_SA,Savoy Walmart,1,Y2 NONUI SA,[@14.0.57766396@]100S
ILLINI,I2 UI-MTH,[@6.0.28930998@][1][1654017581186]/15__I2_UI-MTH,Lincoln & Killarney,0,I2 UI-MTH,22N ILLINI 10
BRONZE,BZ2 SCH MTTF,[@15.0.63192037@][3][1337952572408]/6__BZ2_SCH_MTTF,Yankee Ridge - Lincoln Square,0,BZ2 SCH MTTF,[@15.0.63192037@]3
LAVENDER ALT,3N 7E K12 Early Out,[@6.0.28931730@][1][1659386130395]/4__3N_7E_K12_Early_Out,Ashland Park,0,3N 7E K12 Early Out,[@2.0.84876422@]LAVENDER 1425
TEAL EVENING,T2 UIMF,[@7.0.41903462@][4][1243545628328]/7__T2_UIMF,Illinois Terminal,1,T2 UIMF,TEAL EVENING 12
ILLINI,I1 UI MTH,[@6.0.28930998@][1][1654016875236]/9__I1_UI_MTH,Lincoln & Anthony,0,I1 UI MTH,[@15.0.63192528@]35
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/81__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
ILLINI,I1 UIF,[@6.0.28930998@][2][1654023658965]/83__I1_UIF,PAR,1,I1 UIF,22S ILLINI 20
BROWN,BA2 SCHMF,[@2.0.80548152@][11][1430341925982]/0__BA2_SCHMF,Parkland College,0,BA2 SCHMF,[@15.0.61662606@]364
GREEN LATE NIGHT SATURDAY,GN2  UISA,[@124.0.92344750@][1484579800344]/42__GN2__UISA,Illinois Terminal,1,GN2  UISA,[@124.0.92344750@]50WLTNT->
ILLINI,I5  UIF,[@6.0.28930998@][1][1654019163045]/47__I5__UIF,Lincoln & Killarney,0,I5  UIF,22N ILLINI 10
YELLOW SATURDAY,Y3SA,[@15.0.63192124@][2][1338469240094]/21__Y3SA,Savoy Walmart,1,Y3SA,[@14.0.57766396@]100S
YELLOW SUNDAY,Y2 UISU,[@124.0.92236898@][1484325332995]/18__Y2_UISU,Champaign Walmart,0,Y2 UISU,[@124.0.92236898@]100N
ILLINI EVENING SATURDAY,I3 UI SA,[@6.0.28931507@][2][1654195464142]/58__I3_UI_SA,PAR,1,I3 UI SA,[@124.0.92260187@]220S ILLINI 20
GOLD,G1 MF NONUI,[@6.0.28929634@][32][1654210228748]/34__G1_MF_NONUI,Lot E-14,1,G1 MF NONUI,[@6.0.28929634@]50
SILVER,SV1 UI MF,[@6.0.28932250@][1][1654213811517]/46__SV1_UI_MF,Lincoln Square,0,SV1 UI MF,[@6.0.28932250@]1
BRONZE,BZ1 NOSCHMF,[@7.0.41201636@][3][1243611110703]/4__BZ1_NOSCHMF,Lincoln Square,0,BZ1 NOSCHMF,8E
SILVER LIMITED EVENING SATURDAY,SV1 NONUISA,[@124.0.92350475@][1484580809807]/50__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@124.0.92350475@]2
ORANGE,GN7 UI MTH,[@2.0.86175868@][1458585713139]/92__GN7_UI_MTH,Round Barn Road - Plastipak,1,GN7 UI MTH,[@2.0.86175868@]42
YELLOW SUNDAY,Y3 SU,[@124.0.92236898@][1484325332995]/61__Y3_SU,Savoy Walmart,1,Y3 SU,[@124.0.92236898@]100S
RAVEN,RV1 MF,[@2.0.81457398@][11][1425933027212]/21__RV1_MF,Illini Union,0,RV1 MF,[@2.0.81457398@]15
SILVER,SV4 NON UI  NOSCH,[@6.0.28932250@][1][1654525562862]/41__SV4_NON_UI__NOSCH,PAR,0,SV4 NON UI  NOSCH,[@6.0.28932250@]1
TEAL,T3 NON UI MF,[@7.0.41893871@][4][1243540851671]/6__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,12W TEAL 12
ORANGEHOPPER,O2 MF,[@14.0.52435578@][3][1275675740468]/23__O2_MF,University & Cottage Grove,0,O2 MF,[@15.0.68513410@]21
TEAL EVENING,T2 UIMF,[@7.0.41903462@][3][1243545697437]/22__T2_UIMF,Orchard Downs,0,T2 UIMF,TEAL EVENING 13
TEAL LATE NIGHT SATURDAY,T1 UISA,[@124.0.92275054@][1484344751044]/73__T1_UISA,Illinois Terminal,1,T1 UISA,[@124.0.92275054@]120W TEAL LATE 12
SILVER,SV2 NON UI,[@6.0.28932250@][2][1654525442681]/4__SV2_NON_UI,PAR,1,SV2 NON UI,SILVER 120
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/41__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
TEAL EVENING,T1 NON UI MF,[@7.0.41903462@][3][1243545711640]/28__T1_NON_UI_MF,Orchard Downs,0,T1 NON UI MF,TEAL EVENING 13
YELLOW,Y4 MF,[@6.0.14329702@][2][1622063222884]/21__Y4_MF,Savoy Walmart,1,Y4 MF,YELLOW 14
GOLD,B2 MF,[@6.0.28929634@][31][1653586749041]/5__B2_MF,Krannert Center,0,B2 MF,[@6.0.28929634@]5
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/147__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/3__O2_MF,Lincoln Square - US 150 & Dodson,0,O2 MF,[@2.0.86175868@]ORANGE 13
ILLINI EVENING SATURDAY,I4 UI SA,[@6.0.28931507@][1][1654194303448]/16__I4_UI_SA,Lincoln & Killarney,0,I4 UI SA,[@124.0.92260187@]220N ILLINI 10
GOLD,G5 NON UI MF,[@6.0.28929634@][32][1654213244195]/40__G5_NON_UI_MF,Mattis & Devonshire,1,G5 NON UI MF,[@6.0.28929634@]46
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][2][1334072041692]/26__L2SA,Illinois Terminal,1,L2SA,30SBB->IT
NAVY,N2 MF,[@124.0.103534744@][32][1510344867429]/11__N2_MF,Carle at the Fields,1,N2 MF,[@124.0.103534744@]4
BRONZE,BZ1 SCHMF,[@15.0.63192037@][4][1337952881024]/9__BZ1_SCHMF,Yankee Ridge - Transit Plaza,1,BZ1 SCHMF,[@15.0.63192037@]4
GREY EVENING SATURDAY,GR5SA,[@124.0.92319406@][1484577670364]/23__GR5SA,Lincoln Square - Urbana Walmart,0,GR5SA,[@124.0.92319406@]4
SILVER EVENING SATURDAY,SV3 UISA,[@124.0.92284627@][1484347218447]/89__SV3_UISA,PAR,1,SV3 UISA,[@124.0.92284627@]SILVER 121
YELLOW,Y2  NONUIMF,[@6.0.14329702@][2][1622062873620]/14__Y2__NONUIMF,Savoy Walmart,1,Y2  NONUIMF,YELLOW 14
TEAL EVENING,T2 UIMF,[@6.0.28930731@][32][1653600900916]/1__T2_UIMF,Illinois Terminal,1,T2 UIMF,TEAL EVENING 12
GREEN,GN3 NOSCH,3GN306__GN3_NOSCH,Road Barn Road,0,GN3 NOSCH,5ETOCF
TEAL,T1 UIM-F,[@6.0.28930857@][31][1653078245365]/11__T1_UIM-F,Orchard Downs,0,T1 UIM-F,[@6.0.28930857@]20
GREEN,GN7 NON UI,8GN509__GN7_NON_UI,Round Barn Road - Holiday Park,1,GN7 NON UI,5W-PM
GOLD,G5 NON UI MF,[@6.0.28929634@][32][1654207782160]/15__G5_NON_UI_MF,Lot E-14,1,G5 NON UI MF,[@6.0.28929634@]22
TEAL EVENING,T3 NON UI MF,[@7.0.41903462@][3][1243545697437]/19__T3_NON_UI_MF,Orchard Downs,0,T3 NON UI MF,TEAL EVENING 13
GOLD,G2 NON UI MF,[@6.0.28929634@][32][1654208058442]/24__G2_NON_UI_MF,Mattis & Devonshire,1,G2 NON UI MF,[@6.0.28929634@]52
TEAL,T2 UIMF,[@6.0.28930857@][32][1653597898645]/12__T2_UIMF,Illinois Terminal,1,T2 UIMF,TEAL 23
ILLINI LIMITED SUNDAY,I1 SU,[@6.0.14330187@][2][1622253008700]/55__I1_SU,ARC,1,I1 SU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
YELLOW,Y2  UIMF,[@6.0.14329702@][1][1622066322107]/48__Y2__UIMF,Champaign Walmart,0,Y2  UIMF,[@15.0.63189004@]23
SILVER,SV4 UI SCH MTH,[@6.0.28932250@][1][1654214032262]/81__SV4_UI_SCH_MTH,Lincoln Square,0,SV4 UI SCH MTH,[@6.0.28932250@]1
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/18__Y2_UISU,Champaign Walmart,0,Y2 UISU,[@124.0.92330667@]100NLTNT->
TEAL,T1 UIM-F,[@6.0.28930857@][32][1653599702162]/23__T1_UIM-F,Illinois Terminal,1,T1 UIM-F,12W TEAL 12
ILLINI LIMITED SATURDAY,I2 UI SA,[@6.0.14330204@][2][1622384445965]/63__I2_UI_SA,ARC,1,I2 UI SA,ILLINI LIMITED WEEKEND 845
GREEN SUNDAY,GN3 SU,[@124.0.92334988@][1484579202830]/82__GN3_SU,Round Barn Road,1,GN3 SU,[@124.0.92334988@]219
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721639425]/16__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
BRONZE,BZ1 NOSCHMF,[@7.0.41201636@][3][1243611110703]/2__BZ1_NOSCHMF,Lincoln Square,0,BZ1 NOSCHMF,8E
PINK,P2 MF SCH,[@2.0.81838518@][12][1430161301181]/24__P2_MF_SCH,Round Barn Road,1,P2 MF SCH,[@2.0.81838518@]103
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/73__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
YELLOW,Y4 MF,[@6.0.14329702@][1][1622065531588]/37__Y4_MF,Champaign Walmart,0,Y4 MF,YELLOW 10
YELLOW SATURDAY,Y3SA,[@15.0.63192124@][1][1338468687615]/2__Y3SA,Champaign Walmart,0,Y3SA,[@14.0.57766396@]100NGRNWRT->
BLUE,B3 SCHMF,[@14.0.56288268@][3][1302635502256]/22__B3_SCHMF,Illinois Terminal,0,B3 SCHMF,BLUE 51
RAVEN,RV1 MF,[@2.0.81457398@][11][1425933027212]/19__RV1_MF,Illini Union,0,RV1 MF,[@2.0.81457398@]15
GREY,GR3 UIMF,[@2.0.80545657@][31][1425487371613]/0__GR3_UIMF,Urbana Walmart,0,GR3 UIMF,7E->LSG
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/6__SV2_UISA,Vet-Med,1,SV2 UISA,[@124.0.92284627@]130S SILVER EVENING 3
NAVY,N2 MF,[@124.0.103534744@][31][1510337405478]/16__N2_MF,Illinois Terminal,0,N2 MF,[@124.0.103534744@]2
ILLINI,I4 UI M-TH,[@6.0.28930998@][2][1654022383710]/63__I4_UI_M-TH,PAR,1,I4 UI M-TH,22S ILLINI 20
TEAL,T2 UIMF,[@6.0.28930857@][32][1653597898645]/11__T2_UIMF,Illinois Terminal,1,T2 UIMF,TEAL 23
BLUE,B3 NOSCHMF,[@6.0.14327672@][32][1628776216113]/0__B3_NOSCHMF,Transit Plaza,1,B3 NOSCHMF,[@14.0.56288268@]341
BROWN ALT PM,BB4 SHOW Reg Dismiss,[@15.0.61734120@][20][1328807553263]/0__BB4_SHOW_Reg_Dismiss,Parkland Ridge - Timberline,1,BB4 SHOW Reg Dismiss,[@15.0.61734120@]225
SILVER EVENING,SV4 UI F,[@12.0.42224456@][3][1246897172937]/12__SV4_UI_F,Lincoln Square,0,SV4 UI F,130N SILVER EVENING 1
GOLD,G3 NON UI MF,[@6.0.28929634@][31][1654264723931]/0__G3_NON_UI_MF,Cunningham & Perkins,0,G3 NON UI MF,[@6.0.28929634@]51
ILLINI EVENING SUNDAY,I3 UI SU,[@6.0.28932555@][1][1654264480593]/1__I3_UI_SU,Lincoln & Killarney,0,I3 UI SU,[@124.0.92263401@]220N ILLINI 10
GREY,GR2 MF,[@2.0.80545657@][31][1425487452154]/21__GR2_MF,Urbana Walmart,0,GR2 MF,7E->LSG
ILLINI,I4 UIF,[@6.0.28930998@][1][1654018642008]/39__I4_UIF,Lincoln & Killarney,0,I4 UIF,22N ILLINI 10
ORANGE ALT,GN9 SHOW,[@15.0.69155236@][4][1368640131908]/7__GN9_SHOW,Fairlawn & Vine,1,GN9 SHOW,[@15.0.69155236@]57
ILLINI,I3 UI MF,[@6.0.28930998@][1][1654018210840]/29__I3_UI_MF,Lincoln & Anthony,0,I3 UI MF,[@15.0.63192528@]35
ILLINI,I4 UI M-TH,[@6.0.28930998@][2][1654022383710]/65__I4_UI_M-TH,PAR,1,I4 UI M-TH,22S ILLINI 20
LINK,LN2 MF,[@6.0.15252684@][2][1622672028480]/74__LN2_MF,Water Survey,1,LN2 MF,[@6.0.15252684@]2
ILLINI,I2 UI-F,[@6.0.28930998@][2][1654024040726]/94__I2_UI-F,PAR,1,I2 UI-F,22S ILLINI 20
LAVENDER ALT,SV4 NON UI SCH,[@2.0.84876422@][1455575336053]/62__SV4_NON_UI_SCH,State & Green,1,SV4 NON UI SCH,[@2.0.84876422@]LP1SCHOOLPO
ILLINI LIMITED,I2 NONUI MF,[@6.0.14327389@][2][1622151633960]/44__I2_NONUI_MF,ARC,1,I2 NONUI MF,ILLINI 845
TEAL,T2 UIMF,[@6.0.28930857@][32][1653597559716]/7__T2_UIMF,Illinois Terminal,1,T2 UIMF,12W TEAL 12
SILVER LATE NIGHT,SV4 UI NOSCH,[@12.0.42230752@][4][1246897567828]/15__SV4_UI_NOSCH,PAR,1,SV4 UI NOSCH,130S SILVER LATE 3
SILVER SUNDAY,SV1 UISU,[@124.0.92281033@][1484346076492]/66__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92281033@]130N SILVER WEEKEND 1
ILLINI,I2 UI-F,[@6.0.28930998@][2][1654024040726]/92__I2_UI-F,PAR,1,I2 UI-F,22S ILLINI 20
SILVER EVENING,SV4 UI NOSCH,[@12.0.42224456@][4][1246897225718]/26__SV4_UI_NOSCH,Vet-Med,1,SV4 UI NOSCH,130S SILVER EVENING 3
GREEN EVENING,L2 NO SCH MF,[@7.0.41201218@][3][1243953754500]/5__L2_NO_SCH_MF,Orchard Downs,0,L2 NO SCH MF,GREEN EVENING 52
LIME SUNDAY,LM1 SU,[@124.0.94415718@][11][1496266203663]/10__LM1_SU,Kirby & Duncan,0,LM1 SU,[@15.0.74000704@]51
NAVY,N2 MF,[@124.0.103534744@][31][1510337405478]/12__N2_MF,Illinois Terminal,0,N2 MF,[@124.0.103534744@]2
YELLOW SATURDAY,Y2 NONUI SA,[@15.0.63192124@][2][1338469240094]/10__Y2_NONUI_SA,Savoy Walmart,1,Y2 NONUI SA,[@14.0.57766396@]100S
SILVER SATURDAY,SV1-1 UISA,[@12.0.44184681@][1250945403296]/64__SV1-1_UISA,Lincoln Square,0,SV1-1 UISA,130N SILVER WEEKEND 1
BRONZE,T3 NON UI MF,[@7.0.41201636@][4][1243606400265]/3__T3_NON_UI_MF,Orchard Downs,1,T3 NON UI MF,8W BRONZE 5
GREEN EVENING,GN7 NON UI,[@7.0.41201218@][3][1243953754500]/3__GN7_NON_UI,Orchard Downs,0,GN7 NON UI,GREEN EVENING 52
TEAL SATURDAY,T2 UISA,[@12.0.44194660@][1250946648828]/138__T2_UISA,Orchard Downs,0,T2 UISA,12E TEAL WEEKEND 13
GREEN EVENING,GN7 UI MTH,[@7.0.41201218@][4][1243955118234]/24__GN7_UI_MTH,Round Barn Road - Parkland College,1,GN7 UI MTH,50W GREEN 55
LAVENDER,L1 MF,[@15.0.63192662@][2][1334589387496]/1__L1_MF,Illinois Terminal,1,L1 MF,LAVENDER 2
GOLDHOPPER,G6 NON UI MF,[@6.0.28930011@][32][1654282613666]/7__G6_NON_UI_MF,Lot E-14,1,G6 NON UI MF,GOLDHOPPER 1
GREY,GR2 MF,[@2.0.80545657@][32][1425489606906]/32__GR2_MF,Parkland College,1,GR2 MF,7W
RUBY SUNDAY,RUB1 SU,[@124.0.92234822@][1484324980985]/39__RUB1_SU,Lincoln Square,1,RUB1 SU,[@124.0.92234822@]2
TEAL SATURDAY,T1 NONUI SA,[@12.0.44194660@][1250946648828]/139__T1_NONUI_SA,Orchard Downs,0,T1 NONUI SA,12E TEAL WEEKEND 13
ILLINI LIMITED EVENING SATURDAY,I1 NONUISA,[@6.0.14330915@][2][1622384801956]/22__I1_NONUISA,Transit Plaza,1,I1 NONUISA,[@124.0.92348983@]ILLINI 845 315
ILLINI EVENING SUNDAY,I4 UI SU,[@6.0.28932555@][1][1654264622423]/12__I4_UI_SU,Lincoln & Killarney,0,I4 UI SU,[@124.0.92263401@]220N ILLINI 10
BRONZE,BZ1 NOSCHMF,[@15.0.63192037@][4][1337953092215]/14__BZ1_NOSCHMF,Yankee Ridge - Transit Plaza,1,BZ1 NOSCHMF,[@15.0.63192037@]4
TEAL EVENING,T1 NON UI MF,[@7.0.41903462@][3][1243545697437]/20__T1_NON_UI_MF,Orchard Downs,0,T1 NON UI MF,TEAL EVENING 13
BRONZE,BZ1 SCHMF,[@7.0.41201636@][3][1243611110703]/3__BZ1_SCHMF,Lincoln Square,0,BZ1 SCHMF,8E
LIME SATURDAY,LM2SA,[@124.0.94415201@][12][1496415811662]/21__LM2SA,Duncan & Bradley,1,LM2SA,[@15.0.73009433@]43
SILVER,SV2 UIMF,[@6.0.28932250@][2][1654215198541]/116__SV2_UIMF,PAR,1,SV2 UIMF,SILVER 120
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/16__GR3_UISU,Illinois Terminal,1,GR3 UISU,[@124.0.92345918@]50W-LATE
BLUE,B3 NOSCHMF,[@14.0.56288268@][4][1302636576192]/3__B3_NOSCHMF,Round Barn Road,1,B3 NOSCHMF,4W
GOLD ALT,9A 10E 6E MTTF Reg Dismiss,[@6.0.14328426@][31][1623166943422]/2__9A_10E_6E_MTTF_Reg_Dismiss,Eastern & Perkins,0,9A 10E 6E MTTF Reg Dismiss,[@2.0.84927215@]GOLD 1535
GREY SUNDAY,GN3 SU,[@2.0.85633657@][32][1463429698711]/5__GN3_SU,Round Barn Road,1,GN3 SU,70WIT->CF
YELLOW LATE NIGHT SATURDAY,Y1 UISA,[@124.0.92327957@][1484578220911]/38__Y1_UISA,Firsy & Gregory,1,Y1 UISA,[@124.0.92327957@]32
BROWN,BA1 MF,[@15.0.61662606@][10][1329152209562]/36__BA1_MF,Illinois Terminal,0,BA1 MF,[@15.0.61662606@]137
GREEN,GN5 MF,5GN565__GN5_MF,Round Barn Road - Holiday Park,1,GN5 MF,5W-AM
SILVER SATURDAY,SV1-1 UISA,[@12.0.44184681@][1250945403296]/82__SV1-1_UISA,Lincoln Square,0,SV1-1 UISA,130N SILVER WEEKEND 1
TEAL EVENING SATURDAY,T2 UISA,[@124.0.92279199@][1484345597711]/38__T2_UISA,Illinois Terminal,1,T2 UISA,[@124.0.92279199@]TEAL EVENING 12
GREEN,GNX1 SCHMF,7GN500__GNX1_SCHMF,Round Barn Road - Holiday Park,1,GNX1 SCHMF,5W-AMIUE->
GREEN LATE NIGHT,GN7 UI F,8GN535__GN7_UI_F,Lincoln Square,0,GN7 UI F,50ELTNT->
SILVER EVENING,SV4 UI NOSCH,[@12.0.42224456@][3][1246897172937]/4__SV4_UI_NOSCH,Lincoln Square,0,SV4 UI NOSCH,130N SILVER EVENING 1
ILLINI LIMITED SATURDAY,I1 NONUISA,[@6.0.14330204@][1][1622384291845]/30__I1_NONUISA,Lincoln & Killarney,0,I1 NONUISA,[@6.0.14330204@]6
LAVENDER,L1 MF,[@15.0.63192662@][2][1334589837818]/5__L1_MF,Illinois Terminal,1,L1 MF,3S->IT
YELLOW SATURDAY,Y3SA,[@15.0.63192124@][2][1340661215436]/0__Y3SA,Savoy Walmart,1,Y3SA,[@14.0.57766396@]100S
GREY EVENING,BZ1 SCHMF,3GN308__BZ1_SCHMF,Lincoln Square - Urbana Walmart,0,BZ1 SCHMF,70E
TEAL EVENING SATURDAY,T2 NONUI SA,[@124.0.92279199@][1484345597711]/14__T2_NONUI_SA,Orchard Downs,0,T2 NONUI SA,[@124.0.92279199@]TEAL EVENING 13
BLUE,B3 NOSCHMF,[@14.0.56288268@][4][1302636576192]/6__B3_NOSCHMF,Round Barn Road,1,B3 NOSCHMF,4W
GREEN EVENING,L2 NOSCH MF,[@7.0.41201218@][4][1256315923109]/0__L2_NOSCH_MF,Round Barn Road,1,L2 NOSCH MF,50W GREEN 57
GREEN SUNDAY,GR3 NONUISU,[@124.0.92334988@][1484579202830]/36__GR3_NONUISU,Orchard Downs,0,GR3 NONUISU,[@124.0.92334988@]50E->PC
YELLOW SUNDAY,Y3 SU,[@124.0.92236898@][1484325332995]/49__Y3_SU,Champaign Walmart,0,Y3 SU,[@124.0.92236898@]100NGRNWRT->
LIME SUNDAY,LM1 SU,[@124.0.94415718@][11][1496266203663]/8__LM1_SU,Kirby & Duncan,0,LM1 SU,[@15.0.74000704@]51
GREENHOPPER EVENING SATURDAY,GN2  UISA,[@7.0.42019048@][1245177724421]/73__GN2__UISA,Sunnycrest,0,GN2  UISA,50E HOPPER 102
TEAL,T1 NON UI MF,[@7.0.41893871@][3][1243541322000]/70__T1_NON_UI_MF,Orchard Downs,0,T1 NON UI MF,12E TEAL 13
ILLINI,I2 UI-MTH,[@6.0.28930998@][1][1654017581186]/12__I2_UI-MTH,Lincoln & Killarney,0,I2 UI-MTH,22N ILLINI 10
TEAL SATURDAY,T1 NONUI SA,[@12.0.44194660@][1250946648828]/60__T1_NONUI_SA,Illinois Terminal,1,T1 NONUI SA,12W TEAL WEEKEND 12
SILVER EVENING,SV4 UI SCH MTH,[@12.0.42224456@][4][1246897225718]/18__SV4_UI_SCH_MTH,Vet-Med,1,SV4 UI SCH MTH,130S SILVER EVENING 3
YELLOW,Y3 MF,[@6.0.14329702@][1][1622066277810]/44__Y3_MF,Champaign Walmart,0,Y3 MF,[@15.0.63189004@]23
ILLINI EVENING,I2 UI-MTH,[@6.0.28928828@][1][1654029014601]/7__I2_UI-MTH,Lincoln & Killarney,0,I2 UI-MTH,220N ILLINI 10
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/85__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
TEAL,T2 UIMF,[@6.0.28930857@][32][1653597898645]/15__T2_UIMF,Illinois Terminal,1,T2 UIMF,TEAL 23
GREEN SATURDAY,GN3 NONUISA,[@7.0.41202550@][4][1248702580375]/2__GN3_NONUISA,Round Barn Road,1,GN3 NONUISA,[@15.0.68513015@]219
SILVER,SV4 NON UI  NOSCH,[@6.0.28932250@][2][1654525478258]/17__SV4_NON_UI__NOSCH,PAR,1,SV4 NON UI  NOSCH,SILVER 120
ILLINI LIMITED EVENING SATURDAY,I1 NONUISA,[@6.0.14330915@][2][1622384801956]/26__I1_NONUISA,Transit Plaza,1,I1 NONUISA,[@124.0.92348983@]ILLINI 845 315
GOLDHOPPER,G1 MF NONUI,[@7.0.41987615@][4][1246632633781]/23__G1_MF_NONUI,Lot E-14,1,G1 MF NONUI,GOLDHOPPER 1
GREEN,GN1 MF,[@15.0.68508734@][3][1375908093213]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]58
GREY,GR2 MF,[@14.0.51708898@][4][1283972739468]/0__GR2_MF,Parkland College,1,GR2 MF,GREY 580
GREEN,GN1 MF,1GN513__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-PM
RUBY EVENING,O4 MF,[@15.0.64613606@][1][1339515184324]/75__O4_MF,Airport & Cunningham,0,O4 MF,[@15.0.64613606@]1
RAVEN,RV1 MF,[@2.0.81457398@][11][1425933027212]/2__RV1_MF,Illini Union,0,RV1 MF,[@2.0.81457398@]15
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1381241976567]/7__L2_SU,Illinois Terminal,1,L2 SU,[@15.0.71205318@]30SBB->IT
GREEN EXPRESS,B1 MF,3R302__B1_MF,Illini Union,0,B1 MF,5E EXP->IU
GREEN EVENING SATURDAY,GN2 NONUISA,[@124.0.92311676@][1484576395235]/32__GN2_NONUISA,Orchard Downs,0,GN2 NONUISA,[@124.0.92311676@]GREEN EVENING 39
GREEN LATE NIGHT SATURDAY,GN3  UISA,[@124.0.92344750@][1484579800344]/85__GN3__UISA,Lincoln Square,0,GN3  UISA,[@124.0.92344750@]50E-LATE
ILLINI EVENING,I2 UI-F,[@6.0.28928828@][1][1654029014601]/6__I2_UI-F,Lincoln & Killarney,0,I2 UI-F,220N ILLINI 10
PINK,P2 MF SCH,[@2.0.81838518@][12][1430161301181]/18__P2_MF_SCH,Round Barn Road,1,P2 MF SCH,[@2.0.81838518@]12
GREENHOPPER,GN7 UI F,[@7.0.41101146@][4][1237930216171]/34__GN7_UI_F,Illinois Terminal,1,GN7 UI F,5W HOPPER 85
GREY SATURDAY,GN2 NONUISA,[@15.0.73008535@][32][1401899327184]/27__GN2_NONUISA,Round Barn Road,1,GN2 NONUISA,[@15.0.69172548@]2
TEAL LATE NIGHT SATURDAY,T1 UISA,[@124.0.92275054@][1484344751044]/28__T1_UISA,Orchard Downs,0,T1 UISA,[@124.0.92275054@]120E TEAL LATE 13
